airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Vistara,2019-06-12,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No Info,8610
Indigo,2019-04-01,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2.0,No Info,9483
Multiple Carriers,2019-05-15,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,9103
Indigo,2019-03-15,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,3175
Indigo,2019-06-27,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4990
Air India,2019-06-09,Kolkata,Banglore,10:00:00,05:25:00,1165,2.0,No Info,12744
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,No Info,14151
Multiple Carriers,2019-05-01,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No Info,9794
Air India,2019-05-21,Kolkata,Banglore,14:30:00,23:15:00,525,2.0,No Info,15107
Jet Airways,2019-05-01,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,8066
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,23:25:00,1660,1.0,No Info,13759
Jet Airways,2019-05-18,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,15554
Multiple Carriers,2019-06-06,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13587
Indigo,2019-06-24,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Indigo,2019-05-15,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,In-flight meal not included,10844
Indigo,2019-06-24,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6442
Indigo,2019-03-06,Mumbai,Hyderabad,15:45:00,23:00:00,435,1.0,No Info,7681
Jet Airways,2019-04-09,Banglore,Delhi,15:50:00,18:45:00,175,0.0,No Info,7229
Multiple Carriers,2019-03-06,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,17267
Indigo,2019-05-24,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Indigo,2019-03-12,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4148
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,07:40:00,1480,1.0,No Info,11455
Air Asia,2019-06-12,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No Info,5162
Air India,2019-06-01,Delhi,Cochin,17:00:00,19:15:00,1575,1.0,No Info,8792
Indigo,2019-05-18,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Indigo,2019-06-09,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-03-21,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Indigo,2019-06-24,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Jet Airways,2019-04-18,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Indigo,2019-05-09,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Air India,2019-03-18,Banglore,New Delhi,17:00:00,19:45:00,165,0.0,No Info,11633
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,8505
Jet Airways,2019-03-18,Banglore,New Delhi,08:55:00,16:10:00,435,1.0,No Info,12284
Jet Airways,2019-05-18,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,12373
Multiple Carriers,2019-03-09,Delhi,Cochin,06:40:00,19:45:00,785,1.0,No Info,12615
Indigo,2019-05-09,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Spicejet,2019-06-18,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-03-12,Mumbai,Hyderabad,09:50:00,16:35:00,405,1.0,No Info,20120
Jet Airways,2019-03-21,Banglore,New Delhi,09:45:00,14:25:00,280,1.0,In-flight meal not included,7280
Indigo,2019-03-15,Banglore,New Delhi,05:25:00,10:10:00,285,1.0,No Info,8021
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,10:25:00,780,1.0,No Info,17261
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,In-flight meal not included,13994
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,23:35:00,1655,1.0,In-flight meal not included,10844
Air India,2019-05-12,Kolkata,Banglore,20:30:00,16:15:00,1185,1.0,No Info,10203
Jet Airways,2019-06-12,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-12,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,10877
Air Asia,2019-04-18,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,4483
Jet Airways,2019-03-21,Delhi,Cochin,09:40:00,18:50:00,550,2.0,No Info,11702
Indigo,2019-04-21,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5703
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,13626
Indigo,2019-04-01,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4591
Jet Airways,2019-03-21,Banglore,New Delhi,18:40:00,07:40:00,780,1.0,In-flight meal not included,7832
Jet Airways,2019-06-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,8016
Air India,2019-03-27,Delhi,Cochin,13:05:00,07:40:00,1115,2.0,No Info,8875
Jet Airways,2019-06-24,Delhi,Cochin,16:00:00,19:00:00,1620,1.0,In-flight meal not included,10262
Indigo,2019-04-03,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4077
Indigo,2019-05-18,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-06-12,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18275
Indigo,2019-06-12,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Multiple Carriers,2019-05-21,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,8266
Indigo,2019-06-15,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,8610
Jet Airways,2019-05-21,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14781
Air India,2019-03-03,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,11185
Air India,2019-06-12,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,5510
Air India,2019-05-21,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No Info,9968
Air Asia,2019-06-12,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,3807
Multiple Carriers,2019-04-09,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,12853
Air India,2019-03-09,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5831
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,12:00:00,1315,1.0,In-flight meal not included,8529
Air India,2019-06-15,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Goair,2019-05-21,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,5048
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,01:30:00,910,1.0,In-flight meal not included,5797
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,15129
Indigo,2019-04-18,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,5780
Air India,2019-05-27,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,21:20:00,935,1.0,No Info,16736
Jet Airways,2019-04-09,Delhi,Cochin,11:40:00,19:00:00,440,2.0,No Info,15439
Jet Airways,2019-06-15,Delhi,Cochin,11:40:00,19:00:00,440,2.0,No Info,18804
Air India,2019-06-09,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10651
Vistara,2019-05-15,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,8452
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,8586
Jet Airways,2019-06-06,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,8016
Air Asia,2019-03-21,Delhi,Cochin,20:10:00,07:10:00,660,1.0,No Info,6151
Air India,2019-03-27,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,7090
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,9899
Air India,2019-04-18,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,5228
Indigo,2019-03-24,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No Info,6144
Multiple Carriers,2019-06-15,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No Info,6795
Multiple Carriers,2019-06-24,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,7155
Spicejet,2019-03-24,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No check-in baggage included,3807
Multiple Carriers,2019-03-03,Delhi,Cochin,10:45:00,18:50:00,485,1.0,No Info,15135
Air Asia,2019-05-09,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,5192
Jet Airways,2019-03-09,Banglore,New Delhi,05:45:00,08:15:00,1590,1.0,In-flight meal not included,9134
Multiple Carriers,2019-05-09,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,9663
Multiple Carriers,2019-03-09,Delhi,Cochin,17:50:00,01:35:00,465,2.0,No Info,23583
Multiple Carriers,2019-03-09,Delhi,Cochin,13:15:00,21:20:00,485,2.0,No Info,11560
Air India,2019-05-12,Kolkata,Banglore,10:00:00,23:15:00,795,1.0,No Info,10203
Multiple Carriers,2019-06-27,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,6093
Indigo,2019-04-06,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5046
Indigo,2019-05-18,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Spicejet,2019-06-03,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No Info,5583
Goair,2019-06-01,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,6393
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,8452
Indigo,2019-05-15,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6027
Multiple Carriers,2019-06-01,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7740
Air India,2019-06-24,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,8372
Air India,2019-04-09,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,6674
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,13587
Indigo,2019-04-24,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Indigo,2019-05-03,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,14781
Indigo,2019-05-27,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No Info,3597
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,18:10:00,700,1.0,No Info,13759
Indigo,2019-03-03,Delhi,Cochin,11:55:00,22:20:00,625,1.0,No Info,11600
Jet Airways,2019-05-27,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Indigo,2019-05-27,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Indigo,2019-04-06,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4423
Jet Airways,2019-03-01,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,18308
Indigo,2019-05-21,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Jet Airways,2019-06-06,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,No Info,14714
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Jet Airways,2019-05-15,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2228
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,9663
Jet Airways,2019-04-01,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,5406
Air India,2019-04-09,Delhi,Cochin,05:55:00,19:15:00,2240,2.0,No Info,7711
Jet Airways,2019-06-24,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,12373
Indigo,2019-05-01,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3943
Indigo,2019-04-21,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Indigo,2019-05-24,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Indigo,2019-05-06,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Jet Airways,2019-04-01,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,No Info,12121
Spicejet,2019-06-24,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Air India,2019-05-06,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No Info,10151
Multiple Carriers,2019-05-18,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,8283
Jet Airways,2019-06-01,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No Info,14714
Air India,2019-06-27,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13591
Indigo,2019-04-21,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4591
Air India,2019-06-24,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,8372
Jet Airways,2019-03-21,Banglore,New Delhi,18:40:00,11:25:00,1005,1.0,In-flight meal not included,7832
Multiple Carriers,2019-05-21,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,8266
Multiple Carriers,2019-06-24,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,9001
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,12681
Air India,2019-03-01,Banglore,New Delhi,05:50:00,12:15:00,1825,3.0,No Info,12346
Indigo,2019-03-21,Delhi,Cochin,08:35:00,22:20:00,825,1.0,No Info,6790
Spicejet,2019-05-27,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,3597
Jet Airways,2019-06-09,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,8016
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Jet Airways,2019-04-03,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4544
Jet Airways,2019-06-01,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,10262
Jet Airways,2019-03-21,Delhi,Cochin,18:15:00,18:50:00,1475,1.0,No Info,12557
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,10:25:00,1220,1.0,In-flight meal not included,7832
Jet Airways,2019-03-21,Delhi,Cochin,18:20:00,04:25:00,2045,2.0,No Info,13082
Indigo,2019-03-15,Chennai,Kolkata,22:05:00,00:30:00,145,0.0,No Info,6297
Spicejet,2019-04-06,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,4423
Indigo,2019-04-12,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4591
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,12898
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,No Info,13941
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,In-flight meal not included,10844
Multiple Carriers,2019-03-27,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,6953
Indigo,2019-06-18,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Indigo,2019-06-03,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Indigo,2019-06-03,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6093
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,15:30:00,390,1.0,In-flight meal not included,15136
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,12898
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13587
Air India,2019-06-01,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3625
Jet Airways,2019-06-24,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,10262
Indigo,2019-05-06,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3419
Jet Airways,2019-05-24,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Indigo,2019-03-24,Banglore,New Delhi,22:20:00,01:10:00,170,0.0,No Info,4377
Goair,2019-06-12,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,3419
Goair,2019-06-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,4959
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,12384
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,04:25:00,1995,2.0,No Info,10929
Indigo,2019-03-27,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Air India,2019-06-01,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10703
Indigo,2019-06-06,Kolkata,Banglore,15:15:00,20:30:00,315,1.0,No Info,5170
Indigo,2019-04-27,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4591
Jet Airways,2019-03-27,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,6960
Air India,2019-06-03,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No Info,13381
Indigo,2019-05-18,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No Info,6442
Vistara,2019-05-24,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Air India,2019-06-15,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,10262
Air India,2019-03-01,Delhi,Cochin,04:00:00,07:40:00,1660,1.0,No Info,28322
Air India,2019-03-21,Delhi,Cochin,13:20:00,19:15:00,1795,2.0,No Info,8708
Jet Airways,2019-05-09,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,15554
Air India,2019-06-12,Kolkata,Banglore,09:10:00,11:05:00,1555,2.0,No Info,6117
Jet Airways,2019-05-27,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,3502
Air India,2019-03-21,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,6383
Jet Airways,2019-03-27,Delhi,Cochin,02:15:00,18:50:00,995,1.0,In-flight meal not included,6017
Multiple Carriers,2019-06-06,Delhi,Cochin,10:20:00,01:30:00,910,1.0,No Info,6795
Jet Airways,2019-05-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,6144
Spicejet,2019-05-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Multiple Carriers,2019-06-09,Delhi,Cochin,02:15:00,11:30:00,555,1.0,No Info,13587
Multiple Carriers,2019-05-18,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,8073
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,05:05:00,1265,1.0,No Info,22270
Spicejet,2019-04-12,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,16:20:00,1150,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,19:15:00,615,1.0,In-flight meal not included,10197
Indigo,2019-04-09,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6093
Vistara,2019-05-15,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,8452
Vistara,2019-06-27,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Spicejet,2019-06-18,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Spicejet,2019-06-24,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No check-in baggage included,4760
Indigo,2019-05-21,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3625
Multiple Carriers,2019-05-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,12507
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No Info,14151
